Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Hallstahammar	0	0	15596	1	0.0644163875289874	15524	1	0.0651635605369477	15346	0	0	15224	0	0	15175	0	0	15127	0	0	15014	0	0	15040	0	0	15042	0	0	14955	0	0	15038	1	0.0664937828313053	15039	0	0	14986	0	0	15052	0	0	15064	0	0	15189	1	0.0649055624066983	15407
Halmstad	6	0.0628061801281246	95532	5	0.0531439989796352	94084	2	0.0214520921152835	93231	3	0.0325048215485297	92294	5	0.0544662309368192	91800	2	0.0219570300921097	91087	3	0.0332443124522113	90241	0	0	89727	0	0	88958	1	0.0113347841857091	88224	1	0.0113728121552616	87929	3	0.0343359428649911	87372	1	0.0115493445746954	86585	3	0.0349886869912062	85742	6	0.0704225352112676	85200	8	0.0943240502747188	84814	0	0	84538
Hammarö	0	0	15256	0	0	15136	0	0	15061	0	0	14943	0	0	14926	0	0	14833	0	0	14655	0	0	14547	0	0	14489	0	0	14374	0	0	14390	0	0	14307	0	0	14237	0	0	14121	0	0	14162	0	0	14141	1	0.0704771301712594	14189
Haninge	3	0.0364046743601878	82407	1	0.0123560519942668	80932	0	0	79430	1	0.0127671526696116	78326	1	0.0129779115944662	77054	0	0	76237	1	0.0133390246505176	74968	1	0.0135688892507259	73698	2	0.0274137836504194	72956	2	0.0278408062697496	71837	1	0.014014434867914	71355	2	0.0280202306064979	71377	1	0.0141039745000141	70902	1	0.0141980917764652	70432	3	0.0430762161851703	69644	1	0.0145751348199971	68610	3	0.044271294492651	67764
Haparanda	0	0	9776	1	0.101153145862836	9886	0	0	9904	0	0	10041	0	0	10059	0	0	10112	0	0	10173	0	0	10192	0	0	10214	0	0	10184	1	0.0979623824451411	10208	0	0	10346	0	0	10334	0	0	10384	0	0	10412	0	0	10495	0	0	10580
Heby	0	0	13490	0	0	13450	0	0	13364	0	0	13381	0	0	13382	0	0	13355	0	0	13407	0	0	13492	0	0	13530	0	0	13634	0	0	13771	1	0.0729341404711545	13711	0	0	13725	0	0	13739	0	0	13653	0	0	13616	0	0	13672
Hedemora	0	0	15085	0	0	15021	0	0	15064	0	0	15119	0	0	15164	0	0	15195	0	0	15259	0	0	15301	1	0.0650195058517555	15380	0	0	15494	1	0.0644911647104347	15506	0	0	15555	0	0	15584	0	0	15749	1	0.0630636312038847	15857	1	0.0620809535634467	16108	0	0	16249
Helsingborg	7	0.0517200614729873	135344	2	0.0150388377986149	132989	7	0.0530258842066191	132011	12	0.0918653254329153	130626	19	0.147085007392957	129177	19	0.148022343583231	128359	27	0.213011029237736	126754	12	0.0960107532043589	124986	16	0.129671202457269	123389	6	0.0491553472825286	122062	8	0.066018039429274	121179	1	0.00832265259583534	120154	1	0.00837478853658945	119406	1	0.00843796408802484	118512	9	0.0764415604270535	117737	0	0	116870	5	0.0429785880674248	116337
Herrljunga	0	0	9376	0	0	9274	0	0	9282	0	0	9284	0	0	9314	0	0	9348	0	0	9280	2	0.214961306964746	9304	0	0	9243	1	0.107469102632993	9305	0	0	9417	1	0.105932203389831	9440	0	0	9486	0	0	9471	0	0	9447	0	0	9456	0	0	9536
Hjo	0	0	8885	0	0	8805	0	0	8832	0	0	8790	0	0	8841	0	0	8859	0	0	8809	0	0	8809	0	0	8853	0	0	8849	0	0	8822	0	0	8844	0	0	8845	0	0	8827	0	0	8787	0	0	8801	0	0	8928
Hofors	0	0	9431	0	0	9511	0	0	9521	0	0	9578	0	0	9741	0	0	9873	1	0.101050929668553	9896	0	0	10039	0	0	10091	0	0	10197	0	0	10237	0	0	10338	0	0	10372	0	0	10501	0	0	10624	0	0	10780	1	0.0910166560480568	10987
Huddinge	0	0	104185	1	0.00975067523425997	102557	0	0	101010	0	0	99049	0	0	97453	1	0.0104386312866657	95798	0	0	94209	0	0	91827	0	0	90182	0	0	88750	0	0	87681	3	0.0344348664501096	87121	5	0.0578322171715419	86457	4	0.0466744457409568	85700	5	0.0591470988348022	84535	2	0.0241341860745746	82870	3	0.0368826762069856	81339
Hudiksvall	0	0	36924	0	0	36829	0	0	36821	0	0	36784	1	0.0271377785014519	36849	0	0	36848	0	0	36905	0	0	36927	0	0	36956	0	0	37004	0	0	36970	0	0	37057	1	0.026992010364932	37048	2	0.0536365586783952	37288	0	0	37454	0	0	37556	0	0	37753
Hultsfred	0	0	13738	0	0	13635	0	0	13550	0	0	13515	0	0	13696	0	0	13855	1	0.0711946461626086	14046	0	0	14196	0	0	14306	0	0	14456	0	0	14591	0	0	14739	0	0	14893	0	0	14977	0	0	15163	0	0	15275	0	0	15656
Hylte	0	0	10278	0	0	10001	0	0	10032	0	0	10126	0	0	10177	0	0	10277	1	0.0973425484279178	10273	0	0	10257	0	0	10371	0	0	10368	0	0	10432	0	0	10377	0	0	10401	0	0	10493	0	0	10479	1	0.0953743443013829	10485	0	0	10559
Håbo	0	0	20034	0	0	19968	0	0	19883	0	0	19715	1	0.050945030312293	19629	1	0.0514085955171705	19452	8	0.416124837451235	19225	0	0	18931	1	0.0536567044052154	18637	0	0	18569	0	0	18378	0	0	18115	0	0	17864	0	0	17648	0	0	17468	0	0	17287	1	0.0583464612871229	17139
Hällefors	0	0	6936	0	0	6982	0	0	6988	0	0	7140	0	0	7220	0	0	7333	0	0	7361	0	0	7475	0	0	7539	0	0	7627	0	0	7688	0	0	7712	0	0	7794	0	0	7879	0	0	8025	0	0	8095	0	0	8252
