code,name,medianIncome,youthUnemployment2010,youthUnemployment2013,unemployment2010,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,satisfactionInfluence,satisfactionGeneral,satisfactionElderlyCare,foreignBorn,reportedCrimeVandalism,youngUnskilled,latitude,longitude,population,populationShare65plus,municipalityType,municipalityTypeBroad,refugees,rentalApartments,governing,fokusRanking,foretagsklimatRanking,cars,motorcycles,tractors,snowmobiles
2380,Östersund,196228,11.6,10.3,9.1,7,-2.1,1106,1.8,43,798,85.1,NA,NA,NA,8.7,11.8,7,63.176683,14.636068,59956,20.3,Larger towns,Town,16.3,209,Mixed,27,144,502.585229168057,30.0720528387484,35.4093001534459,103.325772232971
1863,Hällefors,175658,14.8,15.1,11.5,11,-0.5,623,-3.4,23.5,1534,60.3,NA,NA,NA,10.1,9.9,9.9,59.783688,14.522569,10281,27.9,Municipalities in densely populated regions,Rural,37.2,163.9,Mixed,269,286,351.91129267581,25.8729695554907,35.4051162338294,15.9517556657913
0480,Nyköping,206076,12.1,10.2,8,7.1,-0.9,1035,4.1,34.4,446,81.9,38,53,47,14.9,16.3,9.4,58.752844,17.009159,53038,23.1,Larger towns,Town,18.6,159.4,Mixed,43,107,516.441042271579,35.9742071722161,35.2765941400505,3.09212262905841
1082,Karlshamn,187859,12.5,12.6,9.1,9.4,0.300000000000001,726,1,34.5,628,82.6,NA,NA,NA,12.9,13.6,8.4,56.170303,14.863073,31272,24.3,Municipalities in densely populated regions,Rural,20.4,163.6,Mixed,134,210,525.070350473267,45.0243028907649,34.9833717063187,0.543617293425429
0583,Motala,189606,12.2,13.5,10.1,9.8,-0.299999999999999,834,0.6,28.8,694,83.9,43,56,50,14.3,11.7,12.2,58.538034,15.047094,42187,21.7,Municipalities in densely populated regions,Rural,30.7,213.9,Mixed,142,215,503.425225780454,35.3426410979686,34.7026335126935,1.56446298622798
2582,Boden,196841,12.6,14.7,8.6,8.6,0,1146,1.1,37.9,463,83.9,36,50,41,10.1,9.8,10.9,65.825119,21.688703,27838,22.8,Municipalities in sparsely populated regions,Rural,23.2,202.1,Mixed,140,274,545.29779438178,29.4561390904519,34.5211581291759,127.415762626625
1881,Kumla,208187,12.1,10.6,8.8,7.2,-1.6,1115,3.7,28.6,802,85.4,40,56,43,13.1,12.7,9.8,59.126536,15.140105,20904,18.7,Suburbs to larger towns,City,23.5,175.9,Left-wing,100,62,512.868350554918,35.3042479908152,33.0558744737849,3.58783008036739
1442,Vårgårda,196185,8.9,11,7.9,7.1,-0.800000000000001,811,1,35,126,79.5,NA,NA,NA,13.3,12.5,11.4,58.032304,12.808976,37369,22,Commuter municipalities,Rural,26,107.8,Conservative,133,13,159.972169445262,14.0223179640879,32.7811822633734,0.2943616366507
1427,Sotenäs,199877,6.3,7.8,5.7,4.9,-0.8,717,-2.6,31,1125,77.7,NA,NA,NA,9.7,11.6,12,58.452818,11.349068,8928,29.6,Tourism municipalities,Rural,6,149.9,Conservative,147,254,548.72311827957,40.8826164874552,31.6980286738351,1.90412186379928
2281,Sundsvall,205001,12.3,12,9.7,8.5,-1.2,1088,2.1,38.4,224,84.1,36,53,43,11.9,20.2,9.7,62.390811,17.306927,96978,20.8,Larger towns,Town,16.9,136.1,Mixed,53,153,496.617789601765,33.1415372558725,31.5019901420941,53.3007486233991
